tag ,frequency
NN,"1,673,150,413"
IN,"1,241,927,015"
DT,"1,066,108,071"
NP,"908,823,851"
JJ,"752,241,330"
NNS,"627,555,502"
SENT,"564,484,521"
RB,"525,384,822"
PP,"478,215,562"
VB,"452,083,683"
CC,"401,048,099"
VBZ,"301,219,969"
TO,"296,189,551"
VBN,"275,446,970"
VBP,"266,292,617"
VBD,"254,396,107"
CD,"236,404,365"
VBG,"212,791,167"
PP$,"164,102,495"
MD,"153,896,924"
POS,"61,311,214"
WDT,"59,246,874"
WRB,"53,973,177"
WP,"47,378,314"
RP,"45,280,273"
SYM,"44,541,787"
JJR,"35,992,546"
JJS,"21,439,418"
RBR,"21,198,773"
EX,"20,091,012"
NPS,"17,108,787"
PDT,"10,385,804"
UH,"7,823,197"
RBS,"7,442,141"
LS,"5,696,900"
FW,"4,977,377"
WP$,"1,308,444"
NS,29